vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,137,111.588,109,0
0,0,0,138,111.713,110,0
0,0,0,139,111.838,111,0
0,0,0,140,111.963,112,0
0,0,0,141,112,112.3,0
0,0,0,142,112.087,113,0
0,0,0,143,112,113,0.469121
0,0,0,144,112.212,114,0
0,0,0,145,112.337,115,0
0,0,0,146,112.462,116,0
0,0,0,147,112.587,117,0
0,0,0,148,112.712,118,0
0,0,0,149,112.836,119,0
0,0,0,150,112.961,120,0
0,0,0,151,113,120.31,0
0,0,0,152,113.086,121,0
0,0,0,153,113,121,0.462161
0,0,0,154,113.211,122,0
0,0,0,155,113.336,123,0
0,0,0,156,113.461,124,0
0,0,0,157,113.585,125,0
0,0,0,158,113.71,126,0
0,0,0,159,113.835,127,0
0,0,0,160,113.96,128,0
0,0,0,161,114,128.321,0
0,0,0,162,114.085,129,0
-0.0164707,0.104383,0.0241483,163,114,129,0.455202
0,0,0,164,114.21,130,0
0,0,0,165,114.334,131,0
0,0,0,166,114.459,132,0
0,0,0,167,114.584,133,0
0,0,0,168,114.709,134,0
0,0,0,169,114.834,135,0
0,0,0,170,114.959,136,0
0,0,0,171,115,136.331,0
0,0,0,172,115.083,137,0
0,0,0,173,115,137,0.448242
0,0,0,174,115.208,138,0
0,0,0,175,115.333,139,0
0,0,0,176,115.458,140,0
0,0,0,177,115.583,141,0
0,0,0,178,115.708,142,0
0,0,0,179,115.833,143,0
0,0,0,180,115.957,144,0
0,0,0,181,116,144.342,0
0,0,0,182,116.082,145,0
0,0,0,183,116,145,0.441282
0,0,0,184,116.207,146,0
0,0,0,185,116.332,147,0
0,0,0,186,116.457,148,0
0,0,0,187,116.582,149,0
0,0,0,188,116.706,150,0
0,0,0,189,116.831,151,0
0,0,0,190,116.956,152,0
0,0,0,431,111.402,109,1
0,0,0,432,111.527,110,1
0,0,0,433,111.651,111,1
0,0,0,434,111.776,112,1
0,0,0,435,111.901,113,1
0,0,0,436,112,113.792,1
0,0,0,437,112.026,114,1
0,0,0,438,112,114,1.1393
0,0,0,439,112.151,115,1
0,0,0,440,112,115,1.80947
0,0,0,441,112.276,116,1
0,0,0,442,112.4,117,1
0,0,0,443,112.525,118,1
0,0,0,444,112.65,119,1
0,0,0,445,112.775,120,1
0,0,0,446,112.9,121,1
0,0,0,447,113,121.803,1
0,0,0,448,113.025,122,1
0,0,0,449,113,122,1.13234
0,0,0,450,113.149,123,1
0,0,0,451,113,123,1.80251
0,0,0,452,113.274,124,1
0,0,0,453,113.399,125,1
0,0,0,454,113.524,126,1
0,0,0,455,113.649,127,1
-0.0473147,0.22093,0.0608704,456,113.774,128,1
-0.017455,0.228206,0.0530497,457,113.899,129,1
-0.00814615,0.241414,0.00101015,458,114,129.813,1
-0.00249941,0.244393,-0.0109658,459,114.023,130,1
0.104159,0.252997,-0.011638,460,114,130,1.12538
0.0737379,0.243861,-0.0231462,461,114.148,131,1
0.658122,0.30069,-0.0253958,462,114,131,1.79555
0,0,0,463,114.273,132,1
0,0,0,464,114.398,133,1
0,0,0,465,114.523,134,1
0,0,0,466,114.648,135,1
0,0,0,467,114.772,136,1
0,0,0,468,114.897,137,1
0,0,0,469,115,137.823,1
0,0,0,470,115.022,138,1
0,0,0,471,115,138,1.11842
0,0,0,472,115.147,139,1
0,0,0,473,115,139,1.78859
0,0,0,474,115.272,140,1
0,0,0,475,115.397,141,1
0,0,0,476,115.521,142,1
0,0,0,477,115.646,143,1
0,0,0,478,115.771,144,1
0,0,0,479,115.896,145,1
0,0,0,480,116,145.834,1
0,0,0,481,116.021,146,1
0,0,0,482,116,146,1.11146
0,0,0,483,116.146,147,1
0,0,0,484,116,147,1.78163
0,0,0,485,116.27,148,1
0,0,0,486,116.395,149,1
0,0,0,487,116.52,150,1
0,0,0,488,116.645,151,1
0,0,0,489,116.77,152,1
0,0,0,725,111.215,109,2
0,0,0,726,111.34,110,2
0,0,0,727,111.465,111,2
0,0,0,728,111.59,112,2
0,0,0,729,111.715,113,2
0,0,0,730,111.84,114,2
0,0,0,731,111.965,115,2
0,0,0,732,112,115.284,2
0,0,0,733,112.089,116,2
0,0,0,734,112,116,2.47964
0,0,0,735,112.214,117,2
0,0,0,736,112.339,118,2
0,0,0,737,112.464,119,2
0,0,0,738,112.589,120,2
0,0,0,739,112.714,121,2
0,0,0,740,112.838,122,2
0,0,0,741,112.963,123,2
0,0,0,742,113,123.295,2
-0.00434899,0.0153846,0.00897268,743,113.088,124,2
-0.314329,0.100012,0.0521266,744,113,124,2.47268
-0.555295,0.226122,0.0970378,745,113.213,125,2
-0.594125,0.256862,0.103721,746,113.338,126,2
-0.616973,0.283564,0.0854285,747,113.463,127,2
-0.631785,0.307464,0.0602843,748,113.587,128,2
0.856662,0.313702,0.0424289,749,113.712,129,2
0.600116,0.314288,-0.0133266,750,113.837,130,2
0.807959,0.315204,-0.0259761,751,113.962,131,2
