vector_field:0,vector_field:1,vector_field:2,vtkOriginalPointIds,Points:0,Points:1,Points:2
0,0,0,4772,165.29,121,10
0,0,0,4773,165,121,10.3697
0,0,0,4774,165.527,122,10
0,0,0,4775,165,122,10.6735
0,0,0,4776,165.765,123,10
0,0,0,4777,165,123,10.9773
0,0,0,4778,166,123.987,10
0,0,0,4780,166,124,10.0041
0,0,0,5220,164.269,120,11
0,0,0,5221,164,120,11.3429
0,0,0,5222,164.506,121,11
0,0,0,5223,164,121,11.6467
0,0,0,5224,164.744,122,11
0,0,0,5225,164,122,11.9505
0,0,0,5226,164.982,123,11
0,0,0,5227,165,123.075,11
0,0,0,5228,165.22,124,11
0,0,0,5229,165,124,11.2811
0,0,0,5231,165,125,11.5848
0,0,0,5670,163,118,12.0124
0,0,0,5671,163.248,119,12
0,0,0,5672,163,119,12.3161
0,0,0,5673,163.485,120,12
0,0,0,5674,163,120,12.6199
0,0,0,5675,163.723,121,12
0,0,0,5676,163,121,12.9237
0,0,0,5677,163.961,122,12
0,0,0,5678,164,122.163,12
0,0,0,5679,164.199,123,12
0,0,0,5680,164,123,12.2543
0,0,0,5681,164.437,124,12
0,0,0,5682,164,124,12.5581
0,0,0,5683,164.675,125,12
0,0,0,5684,164,125,12.8618
0,0,0,6117,161.751,116,13
0,0,0,6118,161,116,13.9588
0,0,0,6119,161.989,117,13
0,0,0,6120,162,117.047,13
0,0,0,6121,162.227,118,13
0,0,0,6122,162,118,13.2894
0,0,0,6123,162.464,119,13
0,0,0,6124,162,119,13.5932
0,0,0,6125,162.702,120,13
0,0,0,6126,162,120,13.8969
-0,-0,-0,6127,162.94,121,13
-0,-0,-0,6128,163,121.251,13
-0,-0,-0,6129,163.178,122,13
-0,-0,-0,6130,163,122,13.2275
-0,-0,-0,6131,163.416,123,13
-0,-0,-0,6132,163,123,13.5313
0,0,0,6133,163.654,124,13
0,0,0,6134,163,124,13.8351
0,0,0,6135,163.892,125,13
0,0,0,6136,164,125.455,13
0,0,0,6138,164,126,13.1656
0,0,0,6140,164,127,13.4694
0,0,0,6565,160.492,114,14
0,0,0,6566,160,114,14.6282
0,0,0,6567,160.73,115,14
0,0,0,6568,160,115,14.932
0,0,0,6569,160.968,116,14
0,0,0,6570,161,116.136,14
0,0,0,6571,161.206,117,14
0,0,0,6572,161,117,14.2626
0,0,0,6573,161.444,118,14
0,0,0,6574,161,118,14.5664
0,0,0,6575,161.681,119,14
0,0,0,6576,161,119,14.8702
-0,-0,-0,6577,161.919,120,14
-0,-0,-0,6578,162,120.339,14
-0,-0,-0,6579,162.157,121,14
0,0,0,6580,162,121,14.2007
-0,-0,-0,6581,162.395,122,14
